============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.14-s037_1
  Generated on:           Feb 06 2024  05:07:44 pm
  Module:                 cephalopode
  Technology libraries:   asap7sc7p5t_AO_RVT_TT_ccs_211120 1.0
                          asap7sc7p5t_INVBUF_RVT_TT_ccs_211120 1.0
                          asap7sc7p5t_OA_RVT_TT_ccs_211120 1.0
                          asap7sc7p5t_SEQ_RVT_TT_ccs_220123 1.0
                          asap7sc7p5t_SIMPLE_RVT_TT_ccs_211120 1.0
                          physical_cells 
  Operating conditions:   PVT_0P7V_25C 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

          Instance                          Module                 Cell Count  Cell Area  Net Area   Total Area 
            inst_298         m_271_92                                       6      5.832     2.494        8.326 
            inst_295         m_271_91                                       6      5.832     2.494        8.326 
            inst_262         m_271_80                                       6      5.832     2.494        8.326 
            inst_259         m_271_79                                       6      5.832     2.494        8.326 
            inst_250         m_271_76                                       6      5.832     2.494        8.326 
            inst_247         m_271_75                                       6      5.832     2.494        8.326 
            inst_358         m_271_112                                      5      5.132     1.995        7.127 
            inst_355         m_271_111                                      5      5.132     1.995        7.127 
            inst_346         m_271_108                                      5      5.132     1.995        7.127 
            inst_343         m_271_107                                      5      5.132     1.995        7.127 
            inst_322         m_271_100                                      5      5.132     1.995        7.127 
            inst_319         m_271_99                                       5      5.132     1.995        7.127 
            inst_316         m_271_98                                       5      5.132     1.995        7.127 
            inst_313         m_271_97                                       5      5.132     1.995        7.127 
            inst_304         m_271_94                                       5      5.132     1.995        7.127 
            inst_301         m_271_93                                       5      5.132     1.995        7.127 
            inst_292         m_271_90                                       5      5.132     1.995        7.127 
            inst_289         m_271_89                                       5      5.132     1.995        7.127 
            inst_286         m_271_88                                       5      5.132     1.995        7.127 
            inst_283         m_271_87                                       5      5.132     1.995        7.127 
            inst_274         m_271_84                                       5      5.132     1.995        7.127 
            inst_271         m_271_83                                       5      5.132     1.995        7.127 
            inst_268         m_271_82                                       5      5.132     1.995        7.127 
            inst_265         m_271_81                                       5      5.132     1.995        7.127 
            inst_256         m_271_78                                       5      5.132     1.995        7.127 
            inst_253         m_271_77                                       5      5.132     1.995        7.127 
            inst_244         m_271_74                                       5      5.132     1.995        7.127 
            inst_241         m_271_73                                       5      5.132     1.995        7.127 
            inst_238         m_271_72                                       5      5.132     1.995        7.127 
            inst_235         m_271_71                                       5      5.132     1.995        7.127 
            inst_214         m_271_64                                       5      5.132     1.995        7.127 
            inst_211         m_271_63                                       5      5.132     1.995        7.127 
            inst_202         m_271_60                                       5      5.132     1.995        7.127 
            inst_199         m_271_59                                       5      5.132     1.995        7.127 
            inst_166         m_271_48                                       5      5.132     1.995        7.127 
            inst_163         m_271_47                                       5      5.132     1.995        7.127 
            inst_154         m_271_44                                       5      5.132     1.995        7.127 
            inst_151         m_271_43                                       5      5.132     1.995        7.127 
            inst_118         m_271_32                                       5      5.132     1.995        7.127 
            inst_115         m_271_31                                       5      5.132     1.995        7.127 
            inst_106         m_271_28                                       5      5.132     1.995        7.127 
            inst_103         m_271_27                                       5      5.132     1.995        7.127 
            inst_70          m_271_16                                       5      5.132     1.995        7.127 
            inst_67          m_271_15                                       5      5.132     1.995        7.127 
            inst_58          m_271_12                                       5      5.132     1.995        7.127 
            inst_55          m_271_11                                       5      5.132     1.995        7.127 
            inst_370         m_271_116                                      4      4.899     1.496        6.395 
            inst_367         m_271_115                                      4      4.899     1.496        6.395 
            inst_361         m_271_113                                      4      4.899     1.496        6.395 
            inst_349         m_271_109                                      4      4.899     1.496        6.395 
            inst_208         m_271_62                                       4      4.666     1.496        6.162 
            inst_196         m_271_58                                       4      4.666     1.496        6.162 
            inst_190         m_271_56                                       4      4.666     1.496        6.162 
            inst_187         m_271_55                                       4      4.666     1.496        6.162 
            inst_112         m_271_30                                       4      4.666     1.496        6.162 
            inst_100         m_271_26                                       4      4.666     1.496        6.162 
            inst_94          m_271_24                                       4      4.666     1.496        6.162 
            inst_91          m_271_23                                       4      4.666     1.496        6.162 
            inst_64          m_271_14                                       4      4.666     1.496        6.162 
            inst_52          m_271_10                                       4      4.666     1.496        6.162 
            inst_46          m_271_8                                        4      4.666     1.496        6.162 
            inst_43          m_271_7                                        4      4.666     1.496        6.162 
            inst_364         m_271_114                                      4      4.432     1.496        5.929 
            inst_352         m_271_110                                      4      4.432     1.496        5.929 
            inst_340         m_271_106                                      4      4.432     1.496        5.929 
            inst_337         m_271_105                                      4      4.432     1.496        5.929 
            inst_334         m_271_104                                      4      4.432     1.496        5.929 
            inst_331         m_271_103                                      4      4.432     1.496        5.929 
            inst_325         m_271_101                                      4      4.432     1.496        5.929 
            inst_280         m_271_86                                       4      4.432     1.496        5.929 
            inst_277         m_271_85                                       4      4.432     1.496        5.929 
            inst_232         m_271_70                                       4      4.432     1.496        5.929 
            inst_226         m_271_68                                       4      4.432     1.496        5.929 
            inst_223         m_271_67                                       4      4.432     1.496        5.929 
            inst_220         m_271_66                                       4      4.432     1.496        5.929 
            inst_217         m_271_65                                       4      4.432     1.496        5.929 
            inst_205         m_271_61                                       4      4.432     1.496        5.929 
            inst_193         m_271_57                                       4      4.432     1.496        5.929 
            inst_178         m_271_52                                       4      4.432     1.496        5.929 
            inst_175         m_271_51                                       4      4.432     1.496        5.929 
            inst_172         m_271_50                                       4      4.432     1.496        5.929 
            inst_169         m_271_49                                       4      4.432     1.496        5.929 
            inst_160         m_271_46                                       4      4.432     1.496        5.929 
            inst_157         m_271_45                                       4      4.432     1.496        5.929 
            inst_148         m_271_42                                       4      4.432     1.496        5.929 
            inst_145         m_271_41                                       4      4.432     1.496        5.929 
            inst_142         m_271_40                                       4      4.432     1.496        5.929 
            inst_139         m_271_39                                       4      4.432     1.496        5.929 
