============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.14-s037_1
  Generated on:           Feb 06 2024  05:10:39 pm
  Module:                 cephalopode
  Operating conditions:   PVT_0P7V_25C 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                     Leakage    Dynamic     Total   
          Instance            Cells Power(nW)  Power(nW)  Power(nW) 
            inst_185              1     0.125      0.000      0.125 
            inst_188              1     0.125      0.000      0.125 
            inst_191              1     0.125      0.000      0.125 
            inst_194              1     0.125      0.000      0.125 
            inst_197              1     0.125      0.000      0.125 
            inst_200              1     0.125      0.000      0.125 
            inst_203              1     0.125      0.000      0.125 
            inst_206              1     0.125      0.000      0.125 
            inst_209              1     0.125      0.000      0.125 
            inst_212              1     0.125      0.000      0.125 
            inst_215              1     0.125      0.000      0.125 
            inst_218              1     0.125      0.000      0.125 
            inst_221              1     0.125      0.000      0.125 
            inst_224              1     0.125      0.000      0.125 
            inst_227              1     0.125      0.000      0.125 
            inst_230              1     0.125      0.000      0.125 
            inst_233              1     0.125      0.000      0.125 
            inst_236              1     0.125      0.000      0.125 
            inst_239              1     0.125      0.000      0.125 
            inst_242              1     0.125      0.000      0.125 
            inst_245              1     0.125      0.000      0.125 
            inst_248              1     0.125      0.000      0.125 
            inst_251              1     0.125      0.000      0.125 
            inst_254              1     0.125      0.000      0.125 
            inst_257              1     0.125      0.000      0.125 
            inst_260              1     0.125      0.000      0.125 
            inst_263              1     0.125      0.000      0.125 
            inst_266              1     0.125      0.000      0.125 
            inst_269              1     0.125      0.000      0.125 
            inst_272              1     0.125      0.000      0.125 
            inst_275              1     0.125      0.000      0.125 
            inst_278              1     0.125      0.000      0.125 
            inst_281              1     0.125      0.000      0.125 
            inst_284              1     0.125      0.000      0.125 
            inst_287              1     0.125      0.000      0.125 
            inst_290              1     0.125      0.000      0.125 
            inst_293              1     0.125      0.000      0.125 
            inst_296              1     0.125      0.000      0.125 
            inst_299              1     0.125      0.000      0.125 
            inst_302              1     0.125      0.000      0.125 
            inst_305              1     0.125      0.000      0.125 
            inst_308              1     0.125      0.000      0.125 
            inst_311              1     0.125      0.000      0.125 
            inst_314              1     0.125      0.000      0.125 
            inst_317              1     0.125      0.000      0.125 
            inst_320              1     0.125      0.000      0.125 
            inst_323              1     0.125      0.000      0.125 
            inst_326              1     0.125      0.000      0.125 
            inst_329              1     0.125      0.000      0.125 
            inst_332              1     0.125      0.000      0.125 
            inst_335              1     0.125      0.000      0.125 
            inst_338              1     0.125      0.000      0.125 
            inst_341              1     0.125      0.000      0.125 
            inst_344              1     0.125      0.000      0.125 
            inst_347              1     0.125      0.000      0.125 
            inst_350              1     0.125      0.000      0.125 
            inst_353              1     0.125      0.000      0.125 
            inst_356              1     0.125      0.000      0.125 
            inst_359              1     0.125      0.000      0.125 
            inst_362              1     0.125      0.000      0.125 
            inst_365              1     0.125      0.000      0.125 
